001312 C福恩 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2026/04/21	0931	36.51	36.53	33.00	33.10	3737700	133911984.00
2026/04/21	0932	33.00	34.85	32.21	34.85	2333000	77534872.00
2026/04/21	0933	34.91	35.79	34.91	35.79	1221600	43202204.00
2026/04/21	0934	35.80	35.80	33.86	33.86	818900	28875446.00
2026/04/21	0935	33.80	33.80	32.88	33.01	1097700	36434844.00
2026/04/21	0936	33.06	34.50	33.06	34.50	653300	22013380.00
2026/04/21	0937	34.52	34.76	33.90	33.90	653800	22587236.00
2026/04/21	0938	33.89	33.89	33.59	33.68	555100	18719430.00
2026/04/21	0939	33.74	34.10	33.74	34.10	579700	19639400.00
2026/04/21	0940	34.13	34.15	33.75	33.75	449300	15275729.00
2026/04/21	0941	33.73	33.73	33.48	33.56	459000	15411869.00
2026/04/21	0942	33.60	33.98	33.60	33.98	416400	14055964.00
2026/04/21	0943	33.98	34.00	33.90	33.92	539700	18339392.00
2026/04/21	0944	33.90	33.90	33.72	33.72	300100	10156106.00
2026/04/21	0945	33.70	33.70	33.57	33.57	287100	9663806.00
2026/04/21	0946	33.57	33.57	33.47	33.47	335600	11243495.00
2026/04/21	0947	33.45	33.45	33.29	33.29	272400	9095633.00
2026/04/21	0948	33.27	33.27	32.96	32.96	526800	17414352.00
2026/04/21	0949	32.95	32.95	32.82	32.82	566000	18608986.00
2026/04/21	0950	32.82	33.25	32.82	33.25	532900	17554132.00
2026/04/21	0951	33.28	33.70	33.28	33.70	323700	10838375.00
2026/04/21	0952	33.72	33.99	33.72	33.99	433300	14693646.00
2026/04/21	0953	33.96	33.98	33.53	33.53	328100	11104355.00
2026/04/21	0954	33.51	33.51	33.33	33.45	294700	9849143.00
2026/04/21	0955	33.46	33.81	33.46	33.81	314000	10564209.00
2026/04/21	0956	33.82	33.98	33.82	33.88	419800	14245990.00
2026/04/21	0957	33.87	33.87	33.60	33.60	142800	4824267.00
2026/04/21	0958	33.60	33.70	33.59	33.70	260500	8758298.00
2026/04/21	0959	33.74	33.79	33.71	33.75	156300	5275749.00
2026/04/21	1000	33.78	33.78	33.63	33.65	117900	3971084.75
2026/04/21	1001	33.65	33.66	33.62	33.63	170100	5723549.00
2026/04/21	1002	33.64	33.65	33.63	33.64	185600	6240250.50
2026/04/21	1003	33.63	33.64	33.59	33.59	161900	5443861.00
2026/04/21	1004	33.59	33.59	33.45	33.46	115700	3876258.50
2026/04/21	1005	33.43	33.43	33.18	33.18	148000	4936508.50
2026/04/21	1006	33.15	33.15	33.00	33.04	224700	7423830.50
2026/04/21	1007	33.07	33.46	33.07	33.46	188900	6273671.00
2026/04/21	1008	33.45	33.59	33.45	33.57	181100	6071140.50
2026/04/21	1009	33.60	33.60	33.56	33.56	222400	7468302.50
2026/04/21	1010	33.56	33.56	33.46	33.46	107700	3607713.50
2026/04/21	1011	33.43	33.43	33.30	33.31	73900	2464588.50
2026/04/21	1012	33.30	33.30	33.27	33.27	126000	4196495.50
2026/04/21	1013	33.28	33.32	33.27	33.32	189200	6297971.50
2026/04/21	1014	33.33	33.34	33.30	33.34	131500	4381934.00
2026/04/21	1015	33.34	33.38	33.33	33.38	147600	4921664.00
2026/04/21	1016	33.37	33.38	33.37	33.37	103900	3467262.00
2026/04/21	1017	33.36	33.38	33.32	33.32	126800	4229827.50
2026/04/21	1018	33.32	33.34	33.32	33.33	99100	3303129.75
2026/04/21	1019	33.33	33.34	33.32	33.33	130900	4361654.00
2026/04/21	1020	33.34	33.34	33.31	33.31	79900	2664569.50
2026/04/21	1021	33.31	33.32	33.28	33.28	114500	3810757.25
2026/04/21	1022	33.29	33.29	33.22	33.22	73000	2431314.50
2026/04/21	1023	33.22	33.22	33.11	33.11	102800	3409472.50
2026/04/21	1024	33.12	33.12	33.00	33.01	144500	4774385.50
2026/04/21	1025	33.01	33.05	33.01	33.04	176500	5829998.00
2026/04/21	1026	33.05	33.10	33.04	33.10	116400	3850673.75
2026/04/21	1027	33.09	33.13	33.09	33.13	103600	3429192.75
2026/04/21	1028	33.12	33.15	33.12	33.13	98100	3248157.50
2026/04/21	1029	33.12	33.12	33.06	33.06	120700	3995273.50
2026/04/21	1030	33.06	33.06	33.01	33.01	175400	5794083.50
2026/04/21	1031	33.01	33.03	33.00	33.03	130000	4292150.00
2026/04/21	1032	33.02	33.03	33.02	33.03	105600	3487820.00
2026/04/21	1033	33.03	33.03	33.01	33.01	91900	3035147.75
2026/04/21	1034	33.01	33.03	33.01	33.01	113000	3730626.25
2026/04/21	1035	33.01	33.03	33.01	33.01	121200	4000338.50
2026/04/21	1036	33.02	33.02	33.00	33.00	112700	3720639.25
2026/04/21	1037	33.00	33.01	32.98	32.98	177500	5857779.50
2026/04/21	1038	32.98	32.98	32.90	32.90	85700	2823543.50
2026/04/21	1039	32.91	32.91	32.80	32.80	126500	4153544.75
2026/04/21	1040	32.81	32.81	32.72	32.72	124600	4084917.25
2026/04/21	1041	32.71	32.71	32.65	32.65	187100	6113203.50
2026/04/21	1042	32.63	32.63	32.47	32.47	209300	6810758.50
